id,name_en,qid,matched_label,match_flag,ko,ja,zh,de,fr,es,vi
544,Johns Hopkins University,Q193727,Johns Hopkins University,ok,존스 홉킨스 대학교,ジョンズ・ホプキンズ大学,约翰斯·霍普金斯大学,Johns Hopkins University,Université Johns-Hopkins,Universidad Johns Hopkins,Đại học Johns Hopkins
553,Kansas State University,Q31249,Kansas State University,ok,캔자스 주립 대학교,カンザス州立大学,堪萨斯州立大学,Kansas State University,Université d'État du Kansas,Universidad Estatal de Kansas,Đại học Tiểu bang Kansas
559,Kent State University,Q1473615,Kent State University,ok,켄트 주립 대학교,ケント州立大学,肯特州立大學,Kent State University,Université d'État de Kent,Kent State University,Đại học Tiểu bang Kent
579,Lehigh University,Q622137,Lehigh University,ok,리하이 대학교,リーハイ大学,理海大學,Lehigh University,Université Lehigh,Universidad de Lehigh,Đại học Lehigh
588,Lincoln University,Q1048626,Lincoln University,ok,링컨 대학교,リンカーン大学,林肯大学,Lincoln University,Université de Lincoln,Universidad de Lincoln,
597,Louisiana State University,Q1521725,Louisiana State University,ok,루이지애나 주립 대학교,ルイジアナ州立大学,路易斯安那州立大學,Louisiana State University,Université d'État de Louisiane,Universidad Estatal de Luisiana,Đại học Tiểu bang Louisiana
602,Loyola University Chicago,Q1537759,Loyola University Chicago,ok,시카고 로욜라 대학교,ロヨラ大学,芝加哥洛約拉大學,Loyola University Chicago,Université Loyola de Chicago,Universidad Loyola Chicago,
617,Marquette University,Q188370,Marquette University,ok,,マーケット大学,马凯特大学,Marquette University,Université Marquette,Universidad Marquette,
623,Massachusetts Institute of Technology,Q49108,Massachusetts Institute of Technology,ok,매사추세츠 공과대학교,マサチューセッツ工科大学,麻省理工學院,Massachusetts Institute of Technology,Institut de technologie du Massachusetts,Instituto Tecnológico de Massachusetts,Học viện Công nghệ Massachusetts
641,Michigan State University,Q270222,Michigan State University,ok,미시간 주립 대학교,ミシガン州立大学,密西根州立大學,Michigan State University,Université d'État du Michigan,Universidad Estatal de Míchigan,Đại học Tiểu bang Michigan
